Item,Qty,Cost (CAD),Source,Specifications
WS2812B Led Strip,1,$6.09,(Aliexpress)[https://www.aliexpress.com/item/1005006766819624.html?algo_pvid=750b7ca0-3353-48ef-b88a-3d3d81bf842f&algo_exp_id=750b7ca0-3353-48ef-b88a-3d3d81bf842f-1&pdp_ext_f=%7B%22order%22%3A%2223226%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.41%214.31%21%21%2121.44%2120.95%21%402103212317765423242748096e49b1%2112000038232636612%21sea%21CA%212965713149%21X%211%210%21n_tag%3A-29919%3Bd%3Afa6b15bf%3Bm03_new_user%3A-29895&curPageLogUid=F6mkf3wErufD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006766819624%7C_p_origin_prod%3A],"1 m 60 IP30, White PCB"
Arduino Nano,1,$4.14,Aliexpress,TYPE-C USB Soldered
Acrylic Glass Panel,1,$9.86,Aliexpress,"15cm x 20cm, 2 mm "
WH148 potentiometer,5,$7.17,Aliexpress ,10K Ohm resistance
Hookup Wires,1,$3.95,Aliexpress ,"22 AWG, 5 m"
PCB,5,$6.13,JLBPCB,
Header Pins 3 pin ,20,$2.70,Aliexpress ,Male
Header Pins 15 pin,10,$5.85,Aliexpress ,Female 
DPDT Slide Switch,10,$3.68,Aliexpress ,
Total Cost:,,$49.57,,
